stem,source,change
100207,raw,0
100447,raw,0
100489,raw,0
101935,raw,0
102055,close@0.015625,0.000894492
102379,raw,0
102691,raw,0
102793,raw,0
10323,raw,0
103633,raw,0
104083,raw,0
104845,raw,0
10743,raw,0
110053,raw,0
11151,raw,0
11159,raw,0
11304,raw,0
11307,raw,0
11326,raw,0
11357,raw,0
11359,raw,0
11395,raw,0
116905,raw,0
117439,raw,0
120643,raw,0
120649,raw,0
12136,raw,0
123307,raw,0
12413,raw,0
124159,close@0.015625,0.0975588
124609,raw,0
12477,raw,0
125653,raw,0
125713,raw,0
12763,raw,0
128215,raw,0
128233,raw,0
12971,raw,0
12981,raw,0
129925,close@0.015625,0.00194151
131341,raw,0
132355,raw,0
132547,raw,0
133207,raw,0
133237,raw,0
133249,raw,0
133255,raw,0
133261,raw,0
13454,raw,0
137011,raw,0
13807,raw,0
139657,raw,0
14065,raw,0
14067,raw,0
14097,raw,0
14101,raw,0
14103,raw,0
14169,raw,0
14189,raw,0
14478,raw,0
14488,raw,0
14490,raw,0
145435,raw,0
146155,raw,0
147367,raw,0
14982,raw,0
15022,raw,0
15038,raw,0
15042,raw,0
150469,raw,0
15059,raw,0
150715,raw,0
151033,raw,0
151435,raw,0
151621,raw,0
151867,raw,0
151951,raw,0
151981,raw,0
154009,raw,0
15408,raw,0
154105,raw,0
154843,raw,0
157891,raw,0
158287,raw,0
161329,raw,0
161695,raw,0
16333,raw,0
163843,raw,0
165494,raw,0
16583,raw,0
166375,raw,0
167018,raw,0
167225,raw,0
167323,raw,0
167357,raw,0
167369,raw,0
167373,raw,0
167376,raw,0
167549,raw,0
167721,raw,0
167994,raw,0
168030,close@0.015625,0.0383635
168069,raw,0
168526,raw,0
169598,raw,0
16977,raw,0
16982,raw,0
169894,raw,0
169919,raw,0
169922,raw,0
169926,raw,0
17015,raw,0
170174,raw,0
170282,raw,0
170300,raw,0
17051,raw,0
170645,raw,0
170646,raw,0
170661,raw,0
170772,raw,0
170773,raw,0
170810,raw,0
170813,raw,0
170980,raw,0
171146,raw,0
171191,raw,0
171384,raw,0
171414,raw,0
171417,raw,0
171426,raw,0
172034,raw,0
172038,raw,0
172920,raw,0
17333,raw,0
173722,raw,0
174310,raw,0
174579,raw,0
174892,raw,0
17544,raw,0
175574,raw,0
17590,raw,0
176446,raw,0
177222,raw,0
177225,raw,0
177226,raw,0
177438,raw,0
177854,raw,0
178101,raw,0
179039,raw,0
17937,raw,0
179856,raw,0
179945,raw,0
180072,raw,0
180176,raw,0
180897,raw,0
18096,raw,0
181117,raw,0
181314,raw,0
181315,raw,0
181668,raw,0
182094,raw,0
182125,raw,0
182126,raw,0
182566,raw,0
183543,raw,0
184552,raw,0
184619,raw,0
184627,raw,0
185082,raw,0
185347,raw,0
185537,raw,0
185948,raw,0
18647,raw,0
188336,raw,0
188381,raw,0
188567,raw,0
188593,raw,0
188650,raw,0
188780,raw,0
188807,raw,0
188810,dropped,
188832,raw,0
188834,raw,0
188836,raw,0
188838,raw,0
188839,raw,0
188843,raw,0
188845,raw,0
188872,raw,0
188933,raw,0
188942,raw,0
188986,raw,0
189272,raw,0
189336,raw,0
189387,raw,0
190098,raw,0
190316,raw,0
190361,raw,0
190536,raw,0
190569,raw,0
190574,raw,0
190575,raw,0
190577,raw,0
190688,raw,0
190966,raw,0
190967,raw,0
190971,raw,0
19100,raw,0
191324,raw,0
191553,raw,0
191594,raw,0
191881,raw,0
191895,raw,0
191918,raw,0
192017,raw,0
192096,raw,0
192466,raw,0
192486,raw,0
192591,raw,0
192849,raw,0
192850,raw,0
192851,raw,0
192852,raw,0
192879,raw,0
193113,raw,0
193351,raw,0
193455,raw,0
193563,raw,0
194018,raw,0
194020,raw,0
194048,raw,0
194060,raw,0
194589,raw,0
194828,raw,0
19535,raw,0
195757,raw,0
196366,raw,0
197362,raw,0
19803,raw,0
201581,dropped,
201636,raw,0
201686,raw,0
201733,raw,0
201856,raw,0
201860,dropped,
201963,raw,0
202094,raw,0
202110,raw,0
202112,raw,0
202308,raw,0
202309,raw,0
202352,raw,0
202416,raw,0
202418,raw,0
202421,raw,0
202424,raw,0
202426,raw,0
202434,raw,0
202437,raw,0
202635,raw,0
202734,raw,0
202760,raw,0
202774,raw,0
202776,raw,0
203248,raw,0
203297,raw,0
203383,raw,0
203384,raw,0
203385,raw,0
203391,raw,0
203426,raw,0
203451,raw,0
204147,raw,0
204429,raw,0
204527,raw,0
204597,raw,0
204631,raw,0
204733,raw,0
205659,raw,0
20567,raw,0
205930,raw,0
205941,raw,0
205997,raw,0
206203,raw,0
206204,raw,0
208503,raw,0
208505,raw,0
211326,raw,0
211386,raw,0
211389,raw,0
211391,raw,0
211392,raw,0
211397,raw,0
211398,raw,0
211401,raw,0
211402,raw,0
211407,raw,0
211408,raw,0
211409,raw,0
211413,raw,0
211414,raw,0
212547,raw,0
212608,raw,0
212675,raw,0
21281,raw,0
21288,raw,0
212984,raw,0
213009,raw,0
213214,raw,0
213220,raw,0
213222,raw,0
213223,raw,0
213233,raw,0
213234,close@0.015625,0.0753326
213237,raw,0
213239,raw,0
213240,raw,0
213241,raw,0
213246,raw,0
213248,raw,0
213249,raw,0
213251,raw,0
213253,raw,0
213255,raw,0
213257,raw,0
213261,raw,0
213262,raw,0
213264,raw,0
213389,raw,0
213429,raw,0
213489,raw,0
213491,raw,0
213578,raw,0
213583,raw,0
213584,raw,0
213588,raw,0
213611,raw,0
213614,raw,0
213746,raw,0
214045,raw,0
214313,raw,0
214316,raw,0
214958,raw,0
214965,raw,0
214966,raw,0
215010,raw,0
215167,raw,0
215170,raw,0
215177,raw,0
215326,raw,0
215331,raw,0
215336,raw,0
215354,raw,0
215378,raw,0
215380,raw,0
215456,raw,0
215459,raw,0
215467,raw,0
215532,raw,0
215549,raw,0
215576,raw,0
215674,raw,0
215685,raw,0
215760,raw,0
216059,raw,0
216449,raw,0
216461,raw,0
216529,raw,0
216530,raw,0
216754,raw,0
216853,raw,0
216871,raw,0
216920,raw,0
216942,raw,0
217279,dropped,
217511,raw,0
217809,raw,0
217810,raw,0
218242,raw,0
218389,raw,0
218390,raw,0
218643,raw,0
218827,raw,0
218905,raw,0
219071,raw,0
219211,raw,0
219403,raw,0
219654,raw,0
219825,raw,0
219836,raw,0
219859,raw,0
219903,raw,0
220083,raw,0
220211,raw,0
220212,raw,0
220242,raw,0
220261,raw,0
220295,raw,0
220297,raw,0
220314,raw,0
221024,raw,0
22144,raw,0
221618,raw,0
221772,raw,0
221775,raw,0
22230,raw,0
223971,raw,0
226232,raw,0
22706,raw,0
227688,raw,0
23076,raw,0
232230,raw,0
23326,raw,0
233322,raw,0
233325,raw,0
23338,raw,0
233931,raw,0
234265,raw,0
234548,raw,0
234552,raw,0
234562,raw,0
234624,raw,0
234835,raw,0
235004,raw,0
236498,raw,0
237988,raw,0
237998,raw,0
238721,raw,0
240401,raw,0
240431,raw,0
241414,raw,0
241490,raw,0
242433,raw,0
242469,raw,0
242497,raw,0
244451,raw,0
246041,raw,0
248038,raw,0
248171,raw,0
248316,raw,0
248710,raw,0
249273,raw,0
249290,raw,0
249532,raw,0
251085,raw,0
25162,raw,0
251895,raw,0
25240,raw,0
25248,raw,0
252803,raw,0
254287,raw,0
25787,raw,0
258202,raw,0
26048,raw,0
260736,raw,0
260847,raw,0
260857,raw,0
260871,raw,0
261371,raw,0
261739,raw,0
26175,raw,0
26176,raw,0
26194,raw,0
262009,raw,0
26216,raw,0
263907,raw,0
264529,raw,0
266363,raw,0
272373,raw,0
272377,raw,0
272379,raw,0
272382,raw,0
27552,raw,0
277130,raw,0
277131,close@0.03125,0.015813
277133,raw,0
285985,raw,0
28689,raw,0
287012,raw,0
292065,raw,0
293016,raw,0
294508,raw,0
33001,raw,0
35917,raw,0
36367,raw,0
36997,raw,0
46819,raw,0
48421,raw,0
62701,raw,0
63961,raw,0
63997,raw,0
65011,raw,0
65293,raw,0
65503,raw,0
67651,raw,0
68533,raw,0
69433,raw,0
74359,raw,0
75943,raw,0
75967,raw,0
76003,raw,0
76021,raw,0
76027,raw,0
76597,raw,0
76927,raw,0
77035,raw,0
77041,raw,0
77251,raw,0
77269,raw,0
78709,raw,0
79987,raw,0
79999,raw,0
81109,raw,0
82327,raw,0
84589,raw,0
85909,raw,0
87283,raw,0
88015,raw,0
90343,raw,0
92869,raw,0
92875,raw,0
92953,raw,0
92959,raw,0
92971,raw,0
92983,raw,0
92989,raw,0
93031,raw,0
93373,raw,0
93877,raw,0
93883,raw,0
97423,raw,0
